drug1,drug2,label,scenario
61,434,48,S0
419,311,48,S0
829,121,48,S0
899,767,48,S0
829,687,48,S0
75,868,19,S0
636,1105,72,S0
481,458,48,S0
4,103,74,S0
588,385,59,S0
408,520,48,S0
519,113,72,S0
521,378,67,S0
1185,927,72,S0
325,936,74,S0
921,288,48,S0
329,490,48,S0
993,489,48,S0
940,887,46,S0
303,1223,46,S0
602,159,46,S0
403,1016,72,S0
784,885,72,S0
392,603,46,S0
614,1032,72,S0
549,887,46,S0
51,53,15,S0
476,1130,48,S0
243,760,48,S0
891,993,46,S0
604,270,48,S0
256,1105,72,S0
858,1072,72,S0
37,458,48,S0
452,514,48,S0
487,1004,48,S0
204,173,72,S0
404,754,46,S0
606,629,8,S0
153,962,5,S0
851,730,72,S0
499,777,76,S0
565,328,46,S0
60,119,59,S0
1021,438,66,S0
173,291,48,S0
67,113,72,S0
584,911,33,S0
1002,1055,72,S0
264,434,74,S0
1036,1055,72,S0
965,928,72,S0
884,2,36,S0
208,432,3,S0
330,942,48,S0
397,730,72,S0
239,696,46,S0
858,691,72,S0
388,829,48,S0
929,702,48,S0
742,859,46,S0
440,823,74,S0
659,94,59,S0
123,707,46,S0
121,1170,48,S0
543,329,71,S0
91,851,46,S0
220,552,48,S0
1040,822,5,S0
30,667,59,S0
198,859,46,S0
676,121,48,S0
589,82,48,S0
551,406,72,S0
842,109,69,S0
643,155,46,S0
895,113,72,S0
118,192,48,S0
213,57,48,S0
148,593,48,S0
254,245,48,S0
1013,1032,72,S0
183,1068,15,S0
1128,1131,8,S0
519,856,72,S0
14,28,46,S0
46,866,48,S0
1,825,69,S0
397,221,48,S0
51,929,48,S0
76,46,15,S0
359,72,48,S0
691,1148,69,S0
353,695,48,S0
613,1020,48,S0
717,1132,31,S0
1019,928,72,S0
224,449,48,S0
503,408,48,S0
194,828,72,S0
38,1105,72,S0
42,228,48,S0
714,818,48,S0
304,956,59,S0
84,549,48,S0
398,229,46,S0
103,236,48,S0
593,6,59,S0
174,48,48,S0
933,465,57,S0
121,575,3,S0
561,330,72,S0
40,514,72,S0
745,186,48,S0
231,320,48,S0
1186,1269,69,S0
503,579,59,S0
1037,583,70,S0
313,119,74,S0
757,903,46,S0
267,765,46,S0
787,323,46,S0
456,1079,72,S0
571,1000,5,S0
394,12,48,S0
67,160,46,S0
556,224,48,S0
211,393,48,S0
634,315,48,S0
45,427,59,S0
40,213,48,S0
1115,961,48,S0
590,1244,72,S0
545,70,71,S0
39,363,48,S0
151,989,3,S0
390,374,36,S0
252,1008,15,S0
150,53,15,S0
362,900,46,S0
126,305,46,S0
264,744,74,S0
885,320,19,S0
119,831,59,S0
313,732,3,S0
703,633,19,S0
634,1181,48,S0
473,663,46,S0
91,1026,46,S0
1008,678,31,S0
549,51,48,S0
316,1340,72,S0
638,288,48,S0
910,467,48,S0
14,154,72,S0
716,1073,46,S0
1010,1098,72,S0
122,43,19,S0
598,402,70,S0
636,900,46,S0
475,1026,59,S0
124,1028,19,S0
398,393,19,S0
1187,490,72,S0
436,883,74,S0
402,27,59,S0
290,777,76,S0
378,804,36,S0
515,97,48,S0
153,438,5,S0
338,229,46,S0
25,23,31,S0
485,552,48,S0
468,743,48,S0
917,1052,74,S0
17,863,19,S0
1082,1105,72,S0
658,326,46,S0
28,816,48,S0
717,148,48,S0
528,303,46,S0
313,0,3,S0
133,1019,48,S0
695,1077,46,S0
847,804,56,S0
835,159,46,S0
364,1238,69,S0
422,490,36,S0
277,79,74,S0
886,643,46,S0
700,1259,48,S0
476,1040,46,S0
51,630,48,S0
144,221,48,S0
51,533,46,S0
962,490,48,S0
462,727,46,S0
458,1215,48,S0
582,1084,19,S0
845,922,48,S0
430,874,48,S0
162,1093,59,S0
166,1235,48,S0
127,901,46,S0
375,1032,72,S0
611,1481,74,S0
235,42,56,S0
18,1032,72,S0
232,280,3,S0
733,457,74,S0
504,46,46,S0
151,535,3,S0
339,19,48,S0
363,405,36,S0
259,533,46,S0
5,1459,69,S0
845,497,48,S0
153,1163,11,S0
659,1127,48,S0
393,564,48,S0
31,683,72,S0
76,1200,15,S0
307,643,46,S0
36,490,48,S0
541,1095,72,S0
446,196,48,S0
423,795,18,S0
568,224,48,S0
427,839,36,S0
571,887,46,S0
693,280,48,S0
432,286,59,S0
468,458,48,S0
209,643,46,S0
576,580,59,S0
154,479,46,S0
561,25,54,S0
120,34,24,S0
610,30,70,S0
280,25,46,S0
820,999,74,S0
914,864,48,S0
18,1048,46,S0
1149,728,48,S0
131,297,69,S0
290,1132,31,S0
782,859,19,S0
926,622,48,S0
787,374,48,S0
175,824,48,S0
334,1203,48,S0
232,426,3,S0
308,162,53,S0
380,499,48,S0
841,692,59,S0
126,519,46,S0
779,140,48,S0
25,454,48,S0
388,194,48,S0
233,1046,48,S0
567,759,63,S0
396,792,48,S0
830,223,48,S0
1174,1195,46,S0
261,1347,72,S0
320,1068,48,S0
797,303,46,S0
208,874,74,S0
26,994,48,S0
213,144,48,S0
198,956,48,S0
5,1005,26,S0
610,43,60,S0
366,1449,48,S0
48,186,48,S0
153,718,5,S0
155,948,46,S0
250,375,48,S0
409,582,46,S0
72,192,48,S0
463,34,48,S0
238,1469,69,S0
201,831,9,S0
157,442,74,S0
419,840,48,S0
556,663,46,S0
771,422,72,S0
743,202,48,S0
313,885,74,S0
252,1094,48,S0
137,627,46,S0
916,826,74,S0
551,1052,46,S0
208,575,3,S0
501,502,48,S0
586,357,59,S0
298,278,48,S0
277,21,3,S0
1115,51,48,S0
243,837,72,S0
891,237,14,S0
387,747,80,S0
133,1182,72,S0
156,222,48,S0
295,589,74,S0
711,885,72,S0
124,582,32,S0
779,223,15,S0
570,701,46,S0
432,760,48,S0
153,974,5,S0
570,1105,72,S0
503,327,48,S0
912,567,48,S0
18,23,31,S0
843,667,48,S0
142,155,46,S0
562,676,46,S0
502,899,48,S0
809,541,46,S0
711,1225,72,S0
326,540,46,S0
194,994,48,S0
535,981,48,S0
397,809,46,S0
315,92,36,S0
365,529,72,S0
259,864,48,S0
78,1186,15,S0
52,829,48,S0
303,1188,48,S0
493,765,46,S0
443,150,48,S0
558,1020,48,S0
366,228,48,S0
95,304,59,S0
1,671,48,S0
1055,213,48,S0
125,1028,48,S0
99,143,9,S0
201,589,9,S0
583,257,48,S0
212,311,48,S0
240,994,48,S0
613,359,48,S0
983,571,69,S0
151,434,3,S0
116,53,15,S0
720,868,19,S0
529,714,46,S0
887,40,46,S0
857,260,48,S0
348,240,48,S0
446,1232,26,S0
232,582,3,S0
495,603,59,S0
895,1159,46,S0
1054,1352,80,S0
78,217,46,S0
198,94,59,S0
782,707,19,S0
43,454,48,S0
261,927,72,S0
419,39,59,S0
220,678,31,S0
307,905,46,S0
608,1068,69,S0
185,877,59,S0
848,1266,38,S0
472,165,72,S0
329,525,48,S0
478,740,69,S0
294,149,48,S0
1015,1221,15,S0
634,726,46,S0
836,28,46,S0
967,900,46,S0
556,48,48,S0
964,319,59,S0
298,451,48,S0
905,1056,10,S0
268,885,46,S0
38,712,48,S0
122,404,19,S0
301,329,48,S0
345,119,53,S0
659,25,54,S0
643,165,76,S0
48,472,48,S0
371,449,48,S0
668,252,46,S0
356,28,46,S0
563,552,9,S0
1000,913,5,S0
779,714,46,S0
4,859,3,S0
585,593,59,S0
521,1001,48,S0
246,32,48,S0
944,313,72,S0
119,25,72,S0
500,716,46,S0
449,905,46,S0
531,1147,46,S0
461,147,72,S0
422,514,46,S0
472,554,72,S0
656,431,48,S0
838,694,69,S0
286,1448,63,S0
785,1098,46,S0
127,948,46,S0
827,727,46,S0
659,315,48,S0
451,638,48,S0
428,728,48,S0
191,97,74,S0
654,594,48,S0
539,374,48,S0
502,1450,48,S0
711,905,46,S0
410,297,69,S0
467,488,74,S0
306,82,48,S0
296,1130,69,S0
556,833,48,S0
325,350,84,S0
826,200,71,S0
457,975,48,S0
1044,323,48,S0
746,240,48,S0
277,944,3,S0
470,286,48,S0
656,326,59,S0
469,1292,46,S0
656,206,48,S0
47,396,48,S0
287,288,48,S0
853,248,46,S0
771,809,46,S0
598,58,75,S0
449,1233,46,S0
153,917,46,S0
601,765,46,S0
139,1198,5,S0
1019,803,82,S0
163,67,3,S0
958,781,5,S0
377,525,71,S0
1024,905,46,S0
599,465,74,S0
51,696,46,S0
920,1094,69,S0
567,887,46,S0
975,423,70,S0
732,1096,46,S0
1188,531,72,S0
665,483,2,S0
6,46,7,S0
302,329,36,S0
325,585,63,S0
26,293,48,S0
280,406,72,S0
24,9,48,S0
29,418,72,S0
328,1328,63,S0
531,226,46,S0
1027,805,66,S0
524,1132,59,S0
236,623,5,S0
331,1166,48,S0
769,1149,48,S0
624,1019,48,S0
632,284,48,S0
144,317,68,S0
857,602,52,S0
252,12,48,S0
811,918,48,S0
745,643,46,S0
214,904,48,S0
1067,806,48,S0
28,639,32,S0
229,1292,46,S0
583,43,48,S0
538,856,72,S0
378,955,48,S0
37,887,46,S0
1189,711,57,S0
1015,760,48,S0
1190,1393,46,S0
1040,418,46,S0
808,389,1,S0
215,707,69,S0
444,226,46,S0
891,1182,14,S0
864,1052,46,S0
34,754,46,S0
1001,172,48,S0
1006,287,69,S0
140,983,28,S0
191,1028,74,S0
686,837,72,S0
803,1132,59,S0
475,119,59,S0
976,1079,72,S0
771,388,48,S0
66,479,46,S0
433,86,8,S0
37,692,3,S0
73,903,72,S0
1191,14,48,S0
238,1476,69,S0
456,676,46,S0
492,837,46,S0
3,1004,48,S0
818,241,72,S0
479,882,19,S0
302,486,36,S0
488,1052,46,S0
102,470,48,S0
388,633,19,S0
442,856,72,S0
42,913,69,S0
24,452,59,S0
2,1041,69,S0
729,413,72,S0
41,409,48,S0
171,309,46,S0
450,198,48,S0
306,887,46,S0
313,664,74,S0
194,487,48,S0
36,275,48,S0
124,868,19,S0
363,830,48,S0
614,767,36,S0
850,315,59,S0
356,112,48,S0
923,837,72,S0
249,548,8,S0
223,7,46,S0
539,3,48,S0
204,1117,72,S0
419,1085,74,S0
125,946,48,S0
386,516,48,S0
971,1158,48,S0
129,955,48,S0
590,1055,72,S0
983,69,48,S0
470,211,48,S0
637,912,48,S0
568,710,48,S0
610,818,22,S0
444,707,46,S0
556,189,48,S0
195,1079,72,S0
498,818,46,S0
266,1275,3,S0
392,323,46,S0
953,1013,48,S0
550,1048,46,S0
310,127,48,S0
956,754,46,S0
86,88,59,S0
106,907,48,S0
492,908,48,S0
788,898,74,S0
216,1319,72,S0
458,493,48,S0
193,24,48,S0
492,914,48,S0
419,106,3,S0
485,287,48,S0
24,69,59,S0
700,176,48,S0
976,1161,72,S0
302,611,46,S0
481,593,48,S0
407,673,74,S0
452,94,59,S0
302,374,36,S0
683,857,19,S0
249,178,46,S0
253,1125,72,S0
624,913,69,S0
779,75,46,S0
393,519,46,S0
515,872,3,S0
963,1016,46,S0
1011,1347,72,S0
297,1049,59,S0
121,658,3,S0
938,259,48,S0
1058,316,2,S0
583,1181,48,S0
407,625,3,S0
523,493,48,S0
162,702,48,S0
256,510,48,S0
286,872,59,S0
864,585,8,S0
461,463,48,S0
124,471,19,S0
556,364,48,S0
275,172,82,S0
152,1110,48,S0
1088,769,70,S0
98,357,59,S0
579,355,48,S0
20,186,48,S0
923,1109,72,S0
1003,25,72,S0
254,72,48,S0
310,550,48,S0
350,1159,46,S0
910,228,48,S0
285,7,46,S0
34,896,48,S0
425,961,48,S0
1010,46,46,S0
647,1079,72,S0
186,373,48,S0
732,303,46,S0
257,419,48,S0
410,1232,26,S0
502,722,15,S0
10,510,72,S0
57,1009,48,S0
972,25,72,S0
47,707,46,S0
416,779,36,S0
151,8,3,S0
237,25,46,S0
199,418,46,S0
481,633,48,S0
284,731,48,S0
580,795,59,S0
276,824,13,S0
313,707,76,S0
24,903,59,S0
430,589,72,S0
247,1026,69,S0
704,7,46,S0
1100,798,57,S0
140,1087,48,S0
839,325,46,S0
136,848,75,S0
451,13,48,S0
364,773,48,S0
262,1215,15,S0
666,78,36,S0
267,590,46,S0
9,1170,48,S0
294,1153,66,S0
701,1347,72,S0
616,869,48,S0
256,521,48,S0
278,499,48,S0
1097,839,36,S0
119,1180,4,S0
728,856,72,S0
274,371,48,S0
642,957,36,S0
880,851,48,S0
630,583,48,S0
690,1032,72,S0
467,911,74,S0
208,53,74,S0
94,46,46,S0
1192,750,66,S0
106,845,48,S0
894,599,74,S0
621,1390,5,S0
597,1198,5,S0
361,78,72,S0
701,754,46,S0
956,937,72,S0
576,634,48,S0
539,955,48,S0
746,925,48,S0
723,351,74,S0
959,911,72,S0
449,654,31,S0
105,922,15,S0
118,224,19,S0
1024,533,46,S0
453,426,48,S0
268,1099,46,S0
276,1093,59,S0
449,856,72,S0
122,562,19,S0
211,975,48,S0
423,981,48,S0
549,556,48,S0
771,654,31,S0
859,1347,72,S0
313,284,74,S0
63,670,71,S0
62,56,48,S0
866,805,72,S0
694,872,59,S0
633,818,46,S0
486,134,69,S0
460,847,8,S0
521,525,48,S0
1042,7,46,S0
370,303,72,S0
184,73,48,S0
769,698,48,S0
169,361,74,S0
510,366,48,S0
1174,7,46,S0
326,430,46,S0
419,438,3,S0
666,510,59,S0
588,1180,48,S0
883,1465,74,S0
460,1016,72,S0
467,201,74,S0
277,885,3,S0
37,497,48,S0
201,795,9,S0
552,809,46,S0
131,923,48,S0
567,502,63,S0
647,7,46,S0
37,45,59,S0
329,1292,48,S0
437,474,71,S0
76,419,15,S0
637,234,48,S0
1129,837,46,S0
119,1471,48,S0
784,148,82,S0
19,764,48,S0
672,78,46,S0
140,936,46,S0
35,643,46,S0
267,687,48,S0
17,282,48,S0
316,727,74,S0
900,1223,46,S0
816,408,48,S0
453,218,48,S0
924,88,48,S0
503,877,59,S0
591,784,2,S0
398,900,46,S0
211,1094,48,S0
48,468,48,S0
779,421,15,S0
1193,1466,69,S0
726,1290,74,S0
425,942,48,S0
717,638,48,S0
121,1025,3,S0
510,981,59,S0
1072,78,46,S0
29,683,19,S0
651,19,48,S0
219,374,71,S0
467,774,74,S0
438,252,46,S0
815,765,46,S0
35,727,46,S0
498,144,48,S0
43,363,48,S0
382,663,46,S0
1194,663,72,S0
177,454,48,S0
223,851,46,S0
341,885,46,S0
565,818,46,S0
532,128,48,S0
555,572,72,S0
610,1315,75,S0
457,175,48,S0
507,497,48,S0
656,452,59,S0
193,68,3,S0
204,695,3,S0
169,249,69,S0
87,625,72,S0
257,121,48,S0
471,748,46,S0
680,1052,72,S0
722,159,46,S0
16,234,48,S0
202,416,48,S0
315,661,48,S0
406,657,19,S0
562,1327,46,S0
489,355,69,S0
204,698,74,S0
35,1149,72,S0
605,1262,75,S0
470,664,46,S0
467,1133,74,S0
115,80,48,S0
729,788,72,S0
325,335,48,S0
322,374,72,S0
994,520,48,S0
901,1390,69,S0
549,523,48,S0
623,630,74,S0
404,805,46,S0
257,687,48,S0
938,95,48,S0
745,221,48,S0
210,266,48,S0
1070,884,48,S0
134,209,69,S0
562,27,48,S0
382,533,46,S0
515,904,48,S0
371,241,48,S0
221,564,48,S0
23,717,69,S0
188,1271,5,S0
409,376,69,S0
476,355,69,S0
422,44,36,S0
529,809,46,S0
946,856,72,S0
1036,1153,66,S0
108,180,71,S0
424,1016,46,S0
419,713,74,S0
745,498,48,S0
938,224,48,S0
106,148,48,S0
928,248,46,S0
132,189,48,S0
9,940,72,S0
4,237,74,S0
666,49,59,S0
299,1454,75,S0
127,868,19,S0
414,1279,69,S0
290,845,48,S0
744,323,48,S0
443,303,46,S0
847,49,48,S0
325,809,46,S0
183,202,15,S0
713,1067,48,S0
10,453,48,S0
340,817,74,S0
365,27,72,S0
317,455,48,S0
891,323,46,S0
157,1,5,S0
567,1159,46,S0
595,623,46,S0
4,249,3,S0
779,866,15,S0
23,735,48,S0
423,720,24,S0
240,355,48,S0
760,1132,31,S0
446,1169,26,S0
572,383,48,S0
264,456,74,S0
51,659,48,S0
386,366,48,S0
1024,947,46,S0
1132,12,48,S0
224,226,46,S0
305,159,46,S0
1195,897,66,S0
954,825,82,S0
520,334,48,S0
718,779,5,S0
268,845,48,S0
487,409,48,S0
1195,204,79,S0
745,393,48,S0
532,507,48,S0
11,981,59,S0
529,905,46,S0
1196,884,53,S0
206,25,48,S0
183,1026,46,S0
14,197,72,S0
717,866,48,S0
31,84,72,S0
76,1032,72,S0
556,859,46,S0
554,942,48,S0
279,701,46,S0
549,277,48,S0
65,966,72,S0
229,51,48,S0
346,1046,48,S0
729,789,72,S0
1182,971,74,S0
784,1455,73,S0
106,588,48,S0
206,1046,48,S0
61,664,48,S0
453,50,48,S0
527,464,48,S0
421,643,46,S0
1024,528,46,S0
152,885,72,S0
208,574,3,S0
606,1055,46,S0
654,993,48,S0
345,695,69,S0
417,15,72,S0
550,696,46,S0
50,472,48,S0
745,986,48,S0
41,1195,46,S0
156,831,48,S0
705,89,74,S0
142,759,48,S0
151,550,3,S0
44,19,48,S0
403,104,19,S0
478,1363,69,S0
51,559,48,S0
525,1055,46,S0
88,118,48,S0
6,293,7,S0
1197,201,59,S0
482,720,24,S0
657,556,19,S0
411,1190,48,S0
847,1453,69,S0
555,600,72,S0
253,526,72,S0
794,871,46,S0
24,287,59,S0
1120,696,46,S0
474,472,69,S0
308,430,46,S0
272,678,31,S0
1160,1182,72,S0
990,1456,48,S0
84,397,48,S0
766,1438,46,S0
644,428,59,S0
752,1203,48,S0
1198,1167,52,S0
277,429,3,S0
235,178,69,S0
540,25,46,S0
182,345,48,S0
657,199,72,S0
714,457,48,S0
352,590,46,S0
717,213,48,S0
877,49,59,S0
361,729,72,S0
777,822,5,S0
651,1050,69,S0
540,676,46,S0
945,461,72,S0
378,1156,48,S0
1048,1121,19,S0
407,583,48,S0
535,590,46,S0
604,446,48,S0
525,676,46,S0
1191,766,48,S0
150,57,48,S0
869,825,82,S0
618,974,5,S0
244,297,69,S0
59,1073,46,S0
268,818,46,S0
11,328,46,S0
180,573,48,S0
368,355,82,S0
254,420,48,S0
814,969,48,S0
4,256,3,S0
300,136,44,S0
1110,677,48,S0
519,773,46,S0
396,91,48,S0
585,453,63,S0
624,1005,26,S0
249,982,46,S0
737,540,19,S0
87,226,46,S0
122,537,19,S0
411,82,48,S0
735,159,46,S0
365,423,72,S0
48,1146,19,S0
213,202,48,S0
563,7,46,S0
1024,1393,46,S0
313,684,74,S0
370,123,72,S0
311,221,48,S0
4,55,3,S0
453,824,48,S0
37,1132,31,S0
422,11,29,S0
579,173,48,S0
467,1124,74,S0
164,532,48,S0
562,165,76,S0
186,772,69,S0
359,468,48,S0
17,533,72,S0
483,158,48,S0
367,328,46,S0
470,60,48,S0
407,336,3,S0
470,278,48,S0
27,411,48,S0
120,422,24,S0
1054,303,72,S0
965,936,72,S0
830,242,48,S0
233,630,48,S0
177,1170,48,S0
253,1025,72,S0
429,1085,72,S0
206,243,48,S0
288,162,48,S0
377,632,71,S0
289,977,82,S0
211,841,59,S0
121,720,59,S0
999,910,71,S0
716,1032,72,S0
66,1094,48,S0
754,410,48,S0
68,354,5,S0
393,37,48,S0
1199,430,74,S0
305,418,46,S0
416,260,48,S0
1179,888,69,S0
327,683,46,S0
103,70,48,S0
778,900,46,S0
65,1052,72,S0
417,74,72,S0
320,426,48,S0
11,666,59,S0
642,92,48,S0
622,1195,74,S0
417,419,48,S0
722,1328,51,S0
565,174,72,S0
274,589,59,S0
174,34,18,S0
738,172,82,S0
1200,107,15,S0
226,427,9,S0
754,148,69,S0
1096,223,48,S0
525,900,46,S0
525,155,46,S0
131,1143,26,S0
816,112,48,S0
163,378,59,S0
562,119,48,S0
705,195,72,S0
976,328,46,S0
174,810,72,S0
298,348,48,S0
70,1026,48,S0
137,486,36,S0
175,63,48,S0
903,977,48,S0
417,528,19,S0
338,1048,46,S0
613,451,48,S0
443,917,46,S0
1033,962,71,S0
226,707,72,S0
7,1147,46,S0
670,1020,74,S0
654,259,48,S0
602,306,48,S0
48,515,48,S0
1120,1052,46,S0
720,180,36,S0
451,857,48,S0
603,74,53,S0
173,467,48,S0
399,843,48,S0
1015,702,48,S0
923,727,74,S0
467,887,74,S0
43,761,19,S0
81,1182,72,S0
68,820,5,S0
733,229,74,S0
387,270,48,S0
638,354,36,S0
1077,736,48,S0
258,765,46,S0
704,993,46,S0
1201,724,74,S0
667,70,36,S0
417,127,72,S0
571,764,8,S0
883,305,19,S0
191,479,74,S0
467,11,74,S0
431,1073,72,S0
452,1093,59,S0
975,982,46,S0
419,1132,31,S0
96,381,74,S0
678,1181,48,S0
617,540,46,S0
38,540,72,S0
957,594,48,S0
605,499,60,S0
354,962,48,S0
804,2,48,S0
481,69,48,S0
493,75,46,S0
1126,776,72,S0
614,27,48,S0
1157,1044,69,S0
35,133,5,S0
27,521,48,S0
68,80,5,S0
657,1181,72,S0
1000,720,32,S0
208,742,3,S0
186,677,48,S0
431,759,15,S0
838,2,48,S0
304,329,36,S0
896,133,48,S0
320,12,48,S0
39,920,29,S0
943,773,36,S0
536,1225,72,S0
399,1327,46,S0
516,172,82,S0
962,297,69,S0
263,70,5,S0
717,278,48,S0
613,905,46,S0
26,192,48,S0
224,922,48,S0
231,242,48,S0
1129,1147,46,S0
243,643,46,S0
567,52,63,S0
257,993,48,S0
549,654,31,S0
680,355,82,S0
290,700,48,S0
841,884,59,S0
45,849,59,S0
537,630,19,S0
533,7,46,S0
137,339,36,S0
96,804,5,S0
174,7,46,S0
637,1215,48,S0
929,768,48,S0
776,1077,46,S0
708,2,71,S0
759,922,48,S0
232,51,3,S0
47,556,48,S0
94,1026,59,S0
252,831,59,S0
761,101,8,S0
883,1192,19,S0
752,146,48,S0
530,867,48,S0
272,189,48,S0
543,439,71,S0
121,260,59,S0
462,1225,72,S0
682,626,66,S0
204,434,3,S0
780,406,72,S0
35,707,69,S0
441,241,8,S0
878,328,46,S0
1132,1008,48,S0
148,363,59,S0
580,288,48,S0
144,1020,48,S0
447,634,46,S0
26,102,48,S0
368,472,82,S0
419,1482,79,S0
771,633,48,S0
778,315,59,S0
472,1276,69,S0
45,326,48,S0
355,371,72,S0
961,470,48,S0
330,26,48,S0
281,149,48,S0
403,761,19,S0
128,78,48,S0
454,983,48,S0
370,67,59,S0
1202,763,57,S0
595,258,46,S0
193,319,48,S0
369,157,69,S0
232,535,3,S0
443,252,63,S0
1085,467,72,S0
851,977,48,S0
936,25,46,S0
737,602,19,S0
53,1088,84,S0
90,467,72,S0
93,351,74,S0
476,1220,48,S0
924,976,1,S0
707,1327,46,S0
1033,548,71,S0
857,210,48,S0
777,751,5,S0
357,430,46,S0
472,841,48,S0
1046,469,48,S0
233,293,48,S0
333,885,46,S0
767,148,69,S0
247,803,71,S0
562,768,19,S0
279,1225,72,S0
880,510,48,S0
371,112,48,S0
730,590,72,S0
334,402,48,S0
34,871,46,S0
891,764,14,S0
348,449,48,S0
478,1070,69,S0
45,1393,46,S0
153,540,72,S0
60,1064,48,S0
1175,541,46,S0
245,335,48,S0
956,810,72,S0
565,522,72,S0
313,606,74,S0
178,198,8,S0
793,489,48,S0
87,481,19,S0
796,832,4,S0
729,1098,72,S0
119,329,36,S0
257,222,48,S0
328,816,48,S0
125,1085,48,S0
313,1124,3,S0
676,116,48,S0
1099,1102,74,S0
730,1086,19,S0
137,660,59,S0
652,688,15,S0
177,568,48,S0
423,642,72,S0
191,453,74,S0
652,268,15,S0
911,1321,46,S0
383,928,72,S0
310,728,48,S0
611,757,72,S0
22,999,39,S0
1145,991,23,S0
467,502,74,S0
801,963,48,S0
9,304,59,S0
422,82,36,S0
664,1149,72,S0
653,692,48,S0
816,520,48,S0
599,92,71,S0
191,366,74,S0
264,237,74,S0
289,250,36,S0
857,1259,48,S0
778,981,59,S0
162,276,24,S0
205,768,19,S0
75,661,69,S0
1049,315,24,S0
13,678,31,S0
530,223,48,S0
656,273,48,S0
264,647,74,S0
105,187,15,S0
243,320,48,S0
252,792,48,S0
811,463,53,S0
432,261,3,S0
60,398,48,S0
229,164,48,S0
192,590,48,S0
771,845,48,S0
324,202,48,S0
2,802,48,S0
285,303,46,S0
547,956,48,S0
421,541,46,S0
1186,1089,69,S0
92,1162,26,S0
397,1046,48,S0
360,681,26,S0
900,80,48,S0
176,1259,48,S0
407,685,3,S0
121,394,3,S0
585,1093,59,S0
668,905,46,S0
754,1419,69,S0
914,426,72,S0
10,458,48,S0
485,995,59,S0
223,696,46,S0
119,339,36,S0
825,714,54,S0
1096,755,74,S0
15,229,72,S0
536,1199,19,S0
104,633,48,S0
598,588,70,S0
836,603,46,S0
218,234,48,S0
531,1466,69,S0
208,349,79,S0
919,258,48,S0
115,1232,26,S0
422,975,13,S0
899,456,48,S0
556,97,46,S0
563,276,9,S0
921,397,48,S0
627,567,72,S0
445,407,72,S0
431,907,15,S0
149,1048,46,S0
326,159,46,S0
711,946,72,S0
462,1223,46,S0
105,40,46,S0
110,452,48,S0
936,1062,69,S0
51,590,46,S0
344,1420,19,S0
484,156,48,S0
515,1181,59,S0
642,44,48,S0
435,675,74,S0
55,489,48,S0
411,33,48,S0
275,541,46,S0
767,33,48,S0
885,1420,19,S0
603,839,36,S0
194,633,48,S0
154,1077,46,S0
1018,707,46,S0
720,552,19,S0
183,502,15,S0
191,406,72,S0
346,1149,72,S0
67,818,46,S0
340,194,74,S0
256,1251,48,S0
928,561,82,S0
536,166,8,S0
268,192,48,S0
867,1073,46,S0
794,240,48,S0
576,385,48,S0
735,381,69,S0
132,927,72,S0
162,185,59,S0
423,815,63,S0
991,767,71,S0
539,34,48,S0
451,320,48,S0
180,134,69,S0
99,264,9,S0
51,218,48,S0
1096,880,48,S0
160,1105,72,S0
277,1221,15,S0
80,838,48,S0
888,1079,72,S0
21,737,48,S0
888,1073,46,S0
18,57,48,S0
84,430,46,S0
265,1040,46,S0
336,979,33,S0
252,743,48,S0
467,946,74,S0
438,1073,46,S0
70,280,48,S0
290,688,48,S0
909,661,69,S0
29,17,32,S0
745,540,46,S0
359,9,48,S0
229,493,48,S0
84,320,48,S0
793,1461,69,S0
576,594,48,S0
1062,927,42,S0
180,516,48,S0
1108,180,69,S0
481,907,48,S0
514,1145,48,S0
86,401,48,S0
393,1098,72,S0
18,1221,15,S0
1072,46,46,S0
286,472,59,S0
160,946,46,S0
549,1061,66,S0
1082,979,33,S0
341,223,48,S0
813,226,46,S0
175,472,82,S0
1067,998,69,S0
300,605,44,S0
94,938,48,S0
503,94,59,S0
1070,1347,72,S0
1153,614,74,S0
621,958,5,S0
779,240,15,S0
283,776,74,S0
188,1150,5,S0
245,564,48,S0
298,469,48,S0
366,927,72,S0
344,703,19,S0
37,198,59,S0
419,592,74,S0
207,583,48,S0
566,430,72,S0
294,1292,48,S0
340,516,74,S0
208,229,3,S0
373,78,46,S0
656,137,59,S0
606,1147,46,S0
564,1170,48,S0
877,160,46,S0
695,634,46,S0
338,514,46,S0
208,463,74,S0
467,760,74,S0
414,1048,72,S0
467,1216,74,S0
474,1223,46,S0
128,1221,15,S0
714,346,63,S0
935,95,48,S0
614,763,53,S0
320,141,48,S0
395,371,48,S0
53,248,72,S0
248,305,46,S0
213,1170,48,S0
63,809,46,S0
136,393,60,S0
530,47,48,S0
734,614,9,S0
189,1026,46,S0
836,730,72,S0
471,1055,46,S0
211,114,59,S0
527,503,69,S0
695,567,48,S0
250,1015,72,S0
70,1453,69,S0
870,1085,72,S0
825,1422,69,S0
836,707,46,S0
514,680,48,S0
323,669,74,S0
99,94,9,S0
834,490,69,S0
193,613,3,S0
48,159,46,S0
436,833,74,S0
523,712,48,S0
37,936,46,S0
474,913,69,S0
107,298,15,S0
476,149,48,S0
1203,798,57,S0
1010,936,46,S0
841,1422,69,S0
346,1147,72,S0
962,148,69,S0
54,633,48,S0
445,1133,72,S0
134,114,59,S0
264,373,74,S0
